Date,Open,High,Low,Close,Volume
21-May-21,3.43,3.60,2.56,3.01,288887990
20-May-21,2.97,3.68,2.62,3.45,384651296
19-May-21,4.70,4.78,2.36,2.96,598811138
18-May-21,4.26,4.87,4.20,4.73,349270219
17-May-21,4.67,4.67,4.15,4.28,299963219
16-May-21,4.75,5.12,4.42,4.67,298909357
15-May-21,5.33,5.36,4.73,4.76,270426238
14-May-21,5.07,5.39,5.00,5.36,291884910
13-May-21,4.92,5.31,4.75,5.07,495291046
12-May-21,5.87,6.03,4.83,4.83,523344831
11-May-21,5.10,5.95,4.88,5.85,576004454
10-May-21,5.83,5.95,4.86,5.07,383506638
09-May-21,5.74,5.88,5.35,5.84,303352743
08-May-21,5.83,6.00,5.61,5.74,416763486
07-May-21,6.28,6.96,5.61,5.90,910456042
06-May-21,5.50,6.69,5.39,6.28,1105125336
05-May-21,4.57,5.58,4.51,5.49,609039752
04-May-21,4.98,5.02,4.50,4.56,387842338
03-May-21,4.66,5.07,4.65,4.99,274231522
02-May-21,4.84,4.87,4.54,4.66,154141656
01-May-21,4.67,4.90,4.57,4.84,176685164
30-Apr-21,4.32,4.65,4.23,4.63,207394495
29-Apr-21,4.33,4.47,4.21,4.32,174885272
28-Apr-21,4.49,4.59,4.20,4.34,226387317
27-Apr-21,4.33,4.54,4.27,4.49,242465221
26-Apr-21,3.68,4.41,3.64,4.32,307177661
25-Apr-21,3.68,3.96,3.50,3.67,187326885
24-Apr-21,3.98,3.98,3.64,3.67,220065857
23-Apr-21,4.11,4.22,3.39,4.00,587004512
22-Apr-21,4.43,4.78,4.07,4.10,429040122
21-Apr-21,4.74,4.84,4.42,4.45,342725147
20-Apr-21,4.52,4.74,4.12,4.73,540842474
19-Apr-21,5.16,5.36,4.46,4.56,517614825
18-Apr-21,5.95,6.04,4.44,5.15,820721763
17-Apr-21,6.02,6.40,5.86,5.96,525689818
16-Apr-21,5.68,6.26,5.49,6.04,960720411
15-Apr-21,5.49,5.77,5.34,5.68,509717029
14-Apr-21,5.48,5.78,5.18,5.51,561176592
13-Apr-21,5.28,5.60,5.14,5.49,460141586
12-Apr-21,5.43,5.47,5.14,5.28,400516075
11-Apr-21,5.52,5.62,5.30,5.44,404625167
10-Apr-21,5.75,6.05,5.25,5.51,721128743
09-Apr-21,5.16,5.78,5.06,5.66,724431823
08-Apr-21,4.66,5.21,4.62,5.18,478751280
07-Apr-21,5.22,5.46,4.54,4.66,778143595
06-Apr-21,5.17,5.77,4.99,5.25,1147768795
05-Apr-21,4.42,5.49,4.34,5.13,1099699276
