Date,Open,High,Low,Close,Volume,MarketCap
21-May-21,40596.95,42172.17,33616.45,37304.69,82051616861,698108789817
20-May-21,36753.67,42462.98,35050.62,40782.74,88281943359,763195929022
19-May-21,42944.98,43546.12,30681.50,37002.44,126358098747,692452570147
18-May-21,43488.06,45812.46,42367.83,42909.40,56187365084,802974346863
17-May-21,46415.90,46623.56,42207.29,43537.51,74903638450,814701646509
16-May-21,46716.64,49720.04,43963.35,46456.06,64047871555,869279076502
15-May-21,49855.49,50639.67,46664.14,46760.19,59161047474,874931019742
14-May-21,49682.98,51438.12,48868.58,49880.53,55737497453,933276901265
13-May-21,49735.43,51330.84,46980.02,49716.19,96721152926,930161010060
12-May-21,56714.53,57939.36,49150.53,49150.53,75215403907,919527847950
11-May-21,55847.24,56872.54,54608.65,56704.57,61308396325,1060790877192
10-May-21,58250.87,59519.35,54071.46,55859.80,71776546298,1044927337818
09-May-21,58877.39,59210.88,56482.00,58232.32,65906690347,1089244557676
08-May-21,57352.77,59464.61,56975.21,58803.78,65382980634,1099863941004
07-May-21,56413.95,58606.63,55321.85,57356.40,68434023376,1072727435210
06-May-21,57441.31,58363.31,55382.51,56396.51,69523285106,1054714918675
05-May-21,53252.16,57911.36,52969.06,57424.01,69241316747,1073873012867
04-May-21,57214.18,57214.18,53191.43,53333.54,68564706967,997324142593
03-May-21,56620.27,58973.31,56590.87,57200.29,51713139031,1069563935453
02-May-21,57825.86,57902.59,56141.91,56631.08,38177405335,1058862005057
01-May-21,57714.66,58448.34,57052.27,57828.05,42836427360,1081174515343
30-Apr-21,53568.66,57900.72,53129.60,57750.18,52395931985,1079669884320
29-Apr-21,54858.09,55115.84,52418.03,53555.11,46088929780,1001193634072
28-Apr-21,55036.64,56227.21,53887.92,54824.70,48000572955,1024888208734
27-Apr-21,54030.30,55416.96,53319.19,55033.12,49448222757,1028733359592
26-Apr-21,49077.79,54288.00,48852.80,54021.75,58284039825,1009780042661
25-Apr-21,50052.83,50506.02,47159.49,49004.25,46117114240,915955943256
24-Apr-21,51143.23,51167.56,48805.28,50050.87,49014494781,935471648213
23-Apr-21,51739.81,52120.79,47714.66,51093.65,86668667320,954919230092
22-Apr-21,53857.11,55410.23,50583.81,51762.27,74798630778,967372472375
21-Apr-21,56471.13,56757.97,53695.47,53906.09,54926612466,1007389534360
20-Apr-21,55681.79,57062.15,53448.05,56473.03,67849323955,1055323526514
19-Apr-21,56191.58,57520.05,54368.59,55724.27,65344865159,1041287672154
18-Apr-21,60701.89,61057.46,52829.54,56216.19,97468872758,1050445401610
17-Apr-21,61529.92,62572.18,60361.35,60683.82,66138759198,1133882479237
16-Apr-21,63258.51,63594.72,60222.53,61572.79,84293007468,1150457156740
15-Apr-21,63075.20,63821.67,62208.96,63314.01,60954381579,1182945492744
14-Apr-21,63523.75,64863.10,61554.80,63109.70,77451779687,1179061093980
13-Apr-21,59890.02,63742.28,59869.96,63503.46,69983454362,1186364044140
12-Apr-21,60175.94,61253.04,59589.87,59893.45,51828688519,1118871072069
11-Apr-21,59846.23,60790.56,59289.80,60204.96,46280252580,1124635848775
10-Apr-21,58253.78,61276.67,58038.71,59793.24,58238470525,1116889802872
09-Apr-21,58326.56,58937.05,57807.86,58245.00,46655208546,1087911057870
08-Apr-21,56099.91,58338.74,55879.08,58323.95,53053855641,1089334328139
07-Apr-21,58186.51,58731.14,55604.02,56048.94,75645303584,1046793054753
06-Apr-21,59171.93,59479.58,57646.81,58192.36,66058027988,1086769183295
05-Apr-21,58760.87,59891.30,57694.83,59057.88,60706272115,1102880790089
04-Apr-21,57604.84,58913.75,57168.68,58758.56,50749662970,1097232660348
03-Apr-21,59397.41,60110.27,57603.89,57603.89,59641344484,1075617261180
02-Apr-21,59098.88,60267.19,58869.28,59384.31,58727860620,1108813863083
01-Apr-21,58926.56,59586.07,58505.28,59095.81,61669163792,1103377830758
31-Mar-21,58930.28,59930.03,57726.42,58918.83,65520826225,1100016786763
30-Mar-21,57750.13,59447.22,57251.55,58917.69,54414116432,1099939890804
29-Mar-21,55947.90,58342.10,55139.34,57750.20,57625587027,1078088296477
28-Mar-21,55974.94,56610.31,55071.11,55950.75,47686580918,1044446559059
27-Mar-21,55137.57,56568.22,54242.91,55973.51,47266542233,1044814147412
26-Mar-21,51683.01,55137.31,51579.86,55137.31,56652197978,1029150697411
25-Mar-21,52726.75,53392.39,50856.57,51704.16,67999812841,965028762666
24-Mar-21,54710.49,57262.38,52514.33,52774.26,70567223787,984948142898
23-Mar-21,54511.66,55985.44,53470.69,54738.94,56435023914,1021563479682
22-Mar-21,57517.89,58471.48,54288.16,54529.15,56521454974,1017595269117
21-Mar-21,58309.91,58767.90,56005.62,57523.42,51943414539,1073417235408
20-Mar-21,58332.26,60031.29,58213.30,58313.64,50361731222,1088105221978
19-Mar-21,57850.44,59498.38,56643.70,58346.65,49063873786,1088666450746
18-Mar-21,58893.08,60116.25,54253.58,57858.92,55746041000,1079511086884
17-Mar-21,56825.83,58969.82,54528.63,58870.89,60258313191,1098337655327
16-Mar-21,55840.79,56833.18,53555.03,56804.90,59749798599,1059745818423
15-Mar-21,59267.43,60540.99,55393.17,55907.20,66419369890,1042946024860
14-Mar-21,61221.13,61597.92,59302.32,59302.32,43901225564,1106226132525
13-Mar-21,57343.37,61683.86,56217.97,61243.08,60669829814,1142369158667
12-Mar-21,57821.22,57996.62,55376.65,57332.09,55689944702,1069366321844
11-Mar-21,55963.18,58091.06,54484.59,57805.12,56772343595,1078135604118
10-Mar-21,54824.01,57258.25,53290.89,56008.55,57295577614,1044580057477
09-Mar-21,52272.97,54824.12,51981.83,54824.12,50912227385,1022439972862
08-Mar-21,51174.12,52314.07,49506.05,52246.52,48597428048,974321883623
07-Mar-21,48918.68,51384.37,48918.68,51206.69,43137459378,954880954585
06-Mar-21,48899.23,49147.22,47257.53,48912.38,34363564661,912054166029
05-Mar-21,48527.03,49396.43,46542.51,48927.30,48625928883,912285065720
04-Mar-21,50522.31,51735.09,47656.93,48561.17,52343816680,905414104807
03-Mar-21,48415.81,52535.14,48274.32,50538.24,53220811975,942236576905
02-Mar-21,49612.11,50127.51,47228.85,48378.99,47530897720,901933683269
01-Mar-21,45159.50,49784.02,45115.09,49631.24,53891300112,925235527882
28-Feb-21,46194.02,46716.43,43241.62,45137.77,53443887451,841428977515
27-Feb-21,46344.77,48253.27,45269.03,46188.45,45910946382,860978135421
26-Feb-21,47180.46,48370.79,44454.84,46339.76,350967941479,863752275053
25-Feb-21,49709.08,51948.97,47093.85,47093.85,54506565949,877766126138
24-Feb-21,48835.09,51290.14,47213.50,49705.33,63695521388,926393090751
23-Feb-21,54204.93,54204.93,45290.59,48824.43,106102492824,909925854460
22-Feb-21,57532.74,57533.39,48967.57,54207.32,92052420332,1010205212981
21-Feb-21,56068.57,58330.57,55672.61,57539.94,51897585191,1072263294725
20-Feb-21,55887.34,57505.23,54626.56,56099.52,68145460026,1045371087640
19-Feb-21,51675.98,56113.65,50937.28,55888.13,63495496918,1041380696669
18-Feb-21,52140.97,52474.11,51015.76,51679.80,52054723579,962915078024
17-Feb-21,49207.28,52533.91,49072.38,52149.01,80820545404,971611626454
16-Feb-21,47944.46,50341.10,47201.30,49199.87,77049582886,916623418254
15-Feb-21,48696.54,48875.57,46347.48,47945.06,77069903166,893210080039
14-Feb-21,47114.51,49487.64,47114.51,48717.29,71248675228,907551330153
13-Feb-21,47491.20,48047.74,46392.28,47105.52,70250456155,877478894464
12-Feb-21,47877.03,48745.73,46424.98,47504.85,76555041196,884874050612
11-Feb-21,44898.71,48463.47,44187.76,47909.33,81388911810,892364856136
10-Feb-21,46469.76,47145.57,43881.15,44918.18,87301089896,836616907527
09-Feb-21,46184.99,48003.72,45166.96,46481.10,91809846886,865682956619
08-Feb-21,38886.83,46203.93,38076.32,46196.46,101467222687,860342706260
07-Feb-21,39250.19,39621.84,37446.15,38903.44,65500641143,724478833211
06-Feb-21,38138.39,40846.55,38138.39,39266.01,71326033653,731192490093
05-Feb-21,36931.55,38225.91,36658.76,38144.31,58598066402,710266752534
04-Feb-21,37475.10,38592.18,36317.50,36926.06,68838074392,687542752523
03-Feb-21,35510.82,37480.19,35443.98,37472.09,61166818159,697672910488
02-Feb-21,33533.20,35896.88,33489.22,35510.29,63088585433,661114581664
01-Feb-21,33114.58,34638.21,32384.23,33537.18,61400400660,624349044409
31-Jan-21,34270.88,34288.33,32270.18,33114.36,52754542671,616452744533
30-Jan-21,34295.94,34834.71,32940.19,34269.52,65141828798,637924573284
29-Jan-21,34318.67,38406.26,32064.81,34316.39,117894572511,638768671362
28-Jan-21,30441.04,33858.31,30023.21,33466.10,76517157706,622910073820
27-Jan-21,32564.03,32564.03,29367.14,30432.55,62576762015,566417413554
26-Jan-21,32358.61,32794.55,31030.27,32569.85,60255421470,606169260387
25-Jan-21,32285.80,34802.74,32087.79,32366.39,59897054838,602350097075
24-Jan-21,32064.38,32944.01,31106.69,32289.38,48643830599,600888568010
23-Jan-21,32985.76,33360.98,31493.16,32067.64,48354737975,596733137645
22-Jan-21,30817.63,33811.85,28953.37,33005.76,77207272511,614160521492
21-Jan-21,35549.40,35552.68,30250.75,30825.70,75643067688,573565664943
20-Jan-21,36050.11,36378.33,33570.48,35547.75,66834573161,661400102161
19-Jan-21,36642.23,37755.89,36069.81,36069.81,57244195486,671081200700
18-Jan-21,35792.24,37299.29,34883.84,36630.08,49511702429,681470030572
17-Jan-21,36163.65,36722.35,34069.32,35791.28,52359854336,665831621391
16-Jan-21,36821.65,37864.37,35633.55,36178.14,57706187875,673000645231
